block_number,timestamp,owner_address,token_symbol,token_address,token_amount,last_event,total_supply,total_borrow
7998790,2022-03-16 16:11:13,0x17d4e25d083bcc954a4d1690902caf24d93e83f0,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.01,Interest,0.01,0.0
7998790,2022-03-16 16:11:13,0x235d19279630c73680a55db20a31210603e785b3,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0.95,Supply,0.95,0.0
