block_number,timestamp,owner_address,token_symbol,token_address,token_amount,last_event
10214319,2022-04-20 21:59:07,0xfff59e1d0a0094b3f0c98aa93076beada38e2709,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,1.7e-05,Interest
10214319,2022-04-20 21:59:07,0xffd25c6ad9ff2495021dc38cea14758c8279301d,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,49.995831,Interest
10214319,2022-04-20 21:59:07,0xff12e4db86c84310754430b4002b27402a9150c7,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-10000.0,Interest
10214319,2022-04-20 21:59:07,0xfee851da79f8b502a16930a74886fb3526937c66,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-2e-06,Interest
10214319,2022-04-20 21:59:07,0xfeaf9bb0cfdde88fa8e7fa4a9a0161268f5ebf15,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6269.002202,Interest
10214319,2022-04-20 21:59:07,0xfeab543efbc4534a0b535f1bd6dfbdf6f38c7a91,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-1e-06,Interest
10214319,2022-04-20 21:59:07,0xfe6fa82c91dcfdf2f7e6387c9a83fbd7829fc5e8,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0.0,Interest
10214319,2022-04-20 21:59:07,0xfd907ccc885fcac4aa4aad7a8460836307cccbe6,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,5.0,Interest
10214319,2022-04-20 21:59:07,0xfd8e716694e95bdc116634dbb0a34afbbb3b01a6,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,77.025576,Interest
10214319,2022-04-20 21:59:07,0xfd53d9c9f7d3fecf72121c13c82ff3c474919ffc,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-1e-06,Interest
10214319,2022-04-20 21:59:07,0xfd027b066ac84c11379e5839694277032901600c,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,102.0,Interest
10214319,2022-04-20 21:59:07,0xfcff5d8987a630c89f462093d1752a2cf8420a9f,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-7000.0,Interest
10214319,2022-04-20 21:59:07,0xfc95330c4086863592e5999cb46d70b5e3aef4ba,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-12.774455,Interest
10214319,2022-04-20 21:59:07,0xfc6567bb46c0d781997871f442a2351b17b9fbba,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,-0.227719,Interest
10214319,2022-04-20 21:59:07,0xfbc45c2988a39cbb95764461dd2b0bfc773b2c3b,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,1.127085,Interest
10214319,2022-04-20 21:59:07,0xfbacaba2fcf4e89fb101ec59369bd0d5427399b9,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,116.57,Interest
